,Flow_IAT_Std_label,Bwd_Packet_Length_Min,Subflow_Fwd_Bytes,Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Duration,Flow_IAT_Std,Init_Win_bytes_forward,Bwd_Packets/s,PSH_Flag_Count,Average_Packet_Size
0,12356.475,0.0,26.0,26.0,8.666667,2436.833,33643.0,12356.475,8192.0,148.61932,1,1453.375
1,5660823.0,0.0,30.0,30.0,6.0,0.0,11326939.0,5660823.0,256.0,0.0,0,7.2
2,1854713.9,0.0,24.0,24.0,6.0,0.0,3225962.0,1854713.9,256.0,0.0,0,7.5
3,50864.117,0.0,363.0,363.0,121.0,3170.4038,148739.0,50864.117,29200.0,33.615932,1,1494.75
4,264510.22,0.0,26.0,26.0,8.666667,3802.3154,700948.0,264510.22,8192.0,7.133197,1,1454.125
5,1688370.5,0.0,24.0,24.0,6.0,0.0,2925863.0,1688370.5,256.0,0.0,0,7.5
6,377769.44,0.0,26.0,26.0,8.666667,3327.7698,1000802.0,377769.44,8192.0,4.995993,1,1454.125
7,244519.73,0.0,26.0,26.0,8.666667,5795.5005,599990.0,244519.73,8192.0,6.6667776,1,1661.8572
8,27300000.0,0.0,367.0,367.0,61.166668,1729.3801,98303096.0,27300000.0,0.0,0.081380956,0,854.8571
9,4396210.0,0.0,30.0,30.0,6.0,0.0,8793763.0,4396210.0,256.0,0.0,0,7.2
10,285452.72,0.0,26.0,26.0,8.666667,4128.3193,712527.0,285452.72,8192.0,5.6138225,1,1661.0
11,21287.69,0.0,26.0,26.0,8.666667,1495.7224,72381.0,21287.69,8192.0,82.894684,1,1291.8889
12,349315.66,0.0,26.0,26.0,8.666667,3173.3738,926332.0,349315.66,8192.0,5.3976326,1,1454.125
13,25400000.0,0.0,421.0,421.0,84.2,1760.5973,84317310.0,25400000.0,0.0,0.083019726,0,1001.8333
14,19400000.0,0.0,56.0,56.0,7.0,4455.1826,72153910.0,19400000.0,256.0,0.069296315,0,897.61536
15,430865.8,0.0,26.0,26.0,8.666667,2137.297,1293792.0,430865.8,8192.0,5.4104524,1,1163.3
16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,274.0,0.0,0,0.0
17,81.119255,57.0,82.0,82.0,41.0,0.0,151.0,81.119255,-1.0,13245.033,0,59.25
18,48584.457,0.0,344.0,344.0,114.666664,2196.7314,142608.0,48584.457,29200.0,35.061146,1,1492.375
19,286417.66,0.0,1044.0,1044.0,174.0,2118.2273,1564325.0,286417.66,29200.0,4.4747734,1,972.2308
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,274.0,0.0,0,0.0
21,23400000.0,0.0,348.0,348.0,49.714287,1757.579,85638184.0,23400000.0,274.0,0.08173924,0,853.0714
22,44506.03,0.0,357.0,357.0,119.0,2181.0083,138517.0,44506.03,29200.0,43.315983,1,1328.0
23,332271.9,0.0,366.0,366.0,91.5,2534.0515,1002543.0,332271.9,29200.0,5.984781,1,1196.1
24,0.0,183.0,41.0,41.0,41.0,0.0,1154336.0,0.0,-1.0,0.8662989,0,132.5
25,1279886.8,0.0,1958.0,1958.0,31.079365,644.4562,22699884.0,1279886.8,29200.0,2.6431854,1,753.8618
26,0.0,6.0,2.0,2.0,2.0,0.0,14.0,0.0,1024.0,71428.57,1,5.0
27,766617.1,0.0,20800.0,20800.0,8.659451,841.9006,76521910.0,766617.1,8192.0,44.54933,1,1227.0547
28,1813870.5,0.0,943.0,943.0,104.77778,493.43518,7000955.0,1813870.5,29200.0,0.8570259,1,157.0
29,0.0,6.0,2.0,2.0,2.0,0.0,43.0,0.0,1024.0,23255.814,1,5.0
30,0.0,103.0,48.0,48.0,48.0,0.0,53198.0,0.0,-1.0,18.797699,0,99.5
31,0.0,6.0,2.0,2.0,2.0,0.0,39.0,0.0,1024.0,25641.025,1,5.0
32,1426995.8,0.0,849.0,849.0,106.125,1065.7576,7831027.0,1426995.8,29200.0,0.766183,1,348.07144
33,32186.37,0.0,881.0,881.0,58.733334,712.17883,427923.0,32186.37,8192.0,32.716167,1,430.27585
34,41.01219,6.0,31.0,31.0,15.5,0.0,206.0,41.01219,287.0,4854.369,0,22.666666
35,0.0,6.0,2.0,2.0,2.0,0.0,47.0,0.0,1024.0,21276.596,1,5.0
36,0.0,6.0,2.0,2.0,2.0,0.0,78.0,0.0,1024.0,12820.513,1,5.0
37,0.0,6.0,2.0,2.0,2.0,0.0,41.0,0.0,1024.0,24390.244,1,5.0
38,0.0,6.0,2.0,2.0,2.0,0.0,47.0,0.0,1024.0,21276.596,1,5.0
39,0.0,6.0,2.0,2.0,2.0,0.0,55.0,0.0,1024.0,18181.818,1,5.0
40,0.0,6.0,2.0,2.0,2.0,0.0,63.0,0.0,1024.0,15873.016,1,5.0
41,0.0,6.0,2.0,2.0,2.0,0.0,43.0,0.0,1024.0,23255.814,1,5.0
42,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
43,332704.03,0.0,26.0,26.0,8.666667,3022.508,891490.0,332704.03,8192.0,5.6085877,1,1453.375
44,50511.92,0.0,355.0,355.0,118.333336,3331.6382,146685.0,50511.92,29200.0,34.086647,1,1493.75
45,494892.03,0.0,26.0,26.0,8.666667,3540.003,1222265.0,494892.03,8192.0,3.2726128,1,1661.0
46,1196024.1,0.0,24.0,24.0,6.0,0.0,2072737.0,1196024.1,256.0,0.0,0,7.5
47,592429.3,0.0,26.0,26.0,8.666667,2207.3413,1572305.0,592429.3,8192.0,3.1800447,1,1453.375
48,317488.38,0.0,26.0,26.0,8.666667,2538.9192,899382.0,317488.38,8192.0,6.6712475,1,1292.5555
49,351614.38,0.0,26.0,26.0,8.666667,3327.7698,931572.0,351614.38,8192.0,5.367272,1,1454.125
50,17800000.0,0.0,56.0,56.0,7.0,3668.897,73176800.0,17800000.0,256.0,0.068327665,0,897.1539
51,358227.34,0.0,26.0,26.0,8.666667,4413.202,949129.0,358227.34,8192.0,5.2679877,1,1454.125
52,2672276.8,0.0,30.0,30.0,6.0,0.0,5345855.0,2672276.8,256.0,0.0,0,7.2
53,16700000.0,0.0,56.0,56.0,7.0,2177.345,71581420.0,16700000.0,256.0,0.083820626,0,833.5
54,3116108.5,0.0,24.0,24.0,6.0,0.0,5399202.0,3116108.5,256.0,0.0,0,7.5
55,266566.16,0.0,26.0,26.0,8.666667,2177.345,754772.0,266566.16,8192.0,7.9494205,1,1292.5555
56,204489.05,0.0,26.0,26.0,8.666667,4128.3193,532701.0,204489.05,8192.0,7.5089025,1,1661.0
57,17500000.0,0.0,56.0,56.0,7.0,2863.7441,72870550.0,17500000.0,256.0,0.08233779,0,833.5
58,17800000.0,0.0,62.0,62.0,6.888889,2436.833,71237630.0,17800000.0,256.0,0.07018762,0,833.5
59,0.0,6.0,2.0,2.0,2.0,0.0,44.0,0.0,1024.0,22727.273,1,5.0
60,0.0,6.0,2.0,2.0,2.0,0.0,47.0,0.0,1024.0,21276.596,1,5.0
61,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
62,0.0,6.0,2.0,2.0,2.0,0.0,78.0,0.0,1024.0,12820.513,1,5.0
63,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
64,0.0,6.0,2.0,2.0,2.0,0.0,44.0,0.0,1024.0,22727.273,1,5.0
65,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
66,0.0,6.0,2.0,2.0,2.0,0.0,44.0,0.0,1024.0,22727.273,1,5.0
67,48210.74,0.0,26.0,26.0,8.666667,5795.5005,118989.0,48210.74,8192.0,33.616554,1,1661.8572
68,314036.47,0.0,26.0,26.0,8.666667,2177.345,889132.0,314036.47,8192.0,6.748154,1,1292.5555
69,0.0,6.0,2.0,2.0,2.0,0.0,48.0,0.0,1024.0,20833.334,1,5.0
70,91715.125,0.0,26.0,26.0,8.666667,2529.1245,260481.0,91715.125,8192.0,23.03431,1,1292.5555
71,309694.47,0.0,26.0,26.0,8.666667,3346.364,820569.0,309694.47,8192.0,6.093333,1,1454.125
72,301848.8,0.0,26.0,26.0,8.666667,2127.5977,906786.0,301848.8,8192.0,7.719572,1,1163.3
73,19400000.0,0.0,56.0,56.0,7.0,5795.5005,70423760.0,19400000.0,256.0,0.056799013,0,972.4167
74,0.0,6.0,2.0,2.0,2.0,0.0,98.0,0.0,1024.0,10204.082,1,5.0
75,0.0,6.0,2.0,2.0,2.0,0.0,43.0,0.0,1024.0,23255.814,1,5.0
76,0.0,6.0,2.0,2.0,2.0,0.0,62.0,0.0,1024.0,16129.032,1,5.0
77,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
78,0.0,6.0,2.0,2.0,2.0,0.0,47.0,0.0,1024.0,21276.596,1,5.0
79,0.0,6.0,2.0,2.0,2.0,0.0,78.0,0.0,1024.0,12820.513,1,5.0
80,0.0,6.0,2.0,2.0,2.0,0.0,42.0,0.0,1024.0,23809.523,1,5.0
81,0.0,6.0,2.0,2.0,2.0,0.0,47.0,0.0,1024.0,21276.596,1,5.0
82,0.0,6.0,2.0,2.0,2.0,0.0,43.0,0.0,1024.0,23255.814,1,5.0
83,1677459.5,0.0,24.0,24.0,6.0,0.0,2906957.0,1677459.5,256.0,0.0,0,7.5
84,31500000.0,0.0,380.0,380.0,76.0,2848.0735,99822030.0,31500000.0,0.0,0.06010697,0,1089.1818
85,91316.08,0.0,951.0,951.0,190.2,2181.0083,568523.0,91316.08,29200.0,10.553662,1,1140.5454
86,24300000.0,0.0,364.0,364.0,60.666668,2566.8853,84324296.0,24300000.0,0.0,0.08301285,0,920.38464
87,251202.7,0.0,26.0,26.0,8.666667,3802.3154,665770.0,251202.7,8192.0,7.5101013,1,1454.125
88,1574970.5,0.0,24.0,24.0,6.0,0.0,2728958.0,1574970.5,256.0,0.0,0,7.5
89,3885887.5,0.0,30.0,30.0,6.0,0.0,7773047.0,3885887.5,256.0,0.0,0,7.2
90,17300000.0,0.0,56.0,56.0,7.0,2137.297,71360850.0,17300000.0,256.0,0.098093,0,777.93335
91,346707.78,0.0,26.0,26.0,8.666667,3327.7698,919496.0,346707.78,8192.0,5.437762,1,1454.125
92,27300000.0,0.0,375.0,375.0,53.57143,1947.6382,98307880.0,27300000.0,274.0,0.07120487,0,855.0
93,312711.78,0.0,347.0,347.0,86.75,1547.7377,1154727.0,312711.78,29200.0,6.062039,1,1085.6364
94,27700000.0,0.0,381.0,381.0,63.5,1547.982,100064824.0,27700000.0,0.0,0.07994817,0,855.8571
95,44845.082,0.0,359.0,359.0,119.666664,1754.8314,142469.0,44845.082,29200.0,42.114426,1,1328.2222
